num_prefill_tokens,num_decode_tokens,arrival_time
606,297,138.9541734271486
73,70,139.66518129497766
183,23,140.82818901803807
136,21,141.58100639864477
288,39,141.59176692425638
128,37,141.68561978580473
186,105,144.03153049931785
193,41,145.44960329568897
117,64,146.8042505150442
397,60,148.96362164203114
310,81,150.17631705849038
223,399,150.80769454583043
159,220,151.19987159281064
542,123,151.2527354242158
193,80,151.32151310441972
180,82,151.4455263545509
271,163,151.4969375968177
1334,205,151.82297946694342
64,53,151.8551362614634
528,125,152.00362332257953
36,19,152.23151320491775
304,147,152.3804550137166
1182,241,152.42961938238847
398,94,152.54386544210544
290,623,152.56949675104752
139,54,152.69115176196993
252,147,152.82598371057998
190,117,152.9419782706944
111,111,153.07349804191367
183,109,153.12049630061736
298,133,153.68336514579488
113,260,153.89876486731885
109,419,154.0604104056989
62,121,154.24112067119188
361,253,154.3207400918628
422,64,154.7512191714444
308,242,154.77668386342097
642,61,154.78379808045383
267,324,154.96912095291734
362,888,155.11425362380922
331,108,155.1801964265705
223,16,155.84066816190915
143,74,156.0483164369666
1736,312,156.1688495618209
155,199,156.43000426907832
125,152,156.4594835504276
377,301,156.52898504985507
314,187,156.56610010983093
60,363,156.6053256073489
751,277,156.85690252834348
222,477,156.9623210897849
80,167,157.09906068655323
803,274,157.16100220046832
457,92,157.18297376086784
69,70,157.23327096527868
1446,564,157.28533374162458
